round,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,attack_accuracy,attack_precision,attack_recall,attack_f1,confusion_matrix
1,0.9741564393043518,0.543521206603336,0.8741765718481868,0.543521206603336,0.6476531165871073,0.6261058526445983,0.26886696501220503,0.975401266834758,0.421538011773617,"[[996, 3639, 909, 234, 1336], [1, 1875, 0, 21, 149], [0, 0, 1416, 0, 0], [5647, 23015, 5279, 57034, 9190], [141, 3440, 0, 145, 1959]]"
2,0.9608362913131714,0.5414082765018123,0.8779955307932813,0.5414082765018123,0.6427538399032201,0.6170271245254496,0.2661206426790403,0.9910829592275998,0.4195782348346785,"[[1635, 2948, 747, 127, 1657], [80, 1846, 0, 6, 114], [0, 0, 1416, 0, 0], [10021, 18817, 4407, 55722, 11198], [164, 3094, 0, 12, 2415]]"
3,0.9708442091941833,0.5427997182759865,0.877828382660251,0.5427997182759865,0.6449276459083838,0.6198701321010771,0.2674364512377471,0.9899145194022508,0.42110632954441407,"[[1699, 3089, 764, 141, 1421], [64, 1896, 0, 16, 70], [8, 0, 1408, 0, 0], [9932, 19618, 4454, 56072, 10089], [275, 3282, 0, 7, 2121]]"
4,0.9602050185203552,0.5418377338395204,0.8777632381195435,0.5418377338395204,0.6442352135640328,0.6196897600192397,0.26745131891299656,0.9907754750630342,0.42120261437908496,"[[1549, 3153, 774, 110, 1528], [69, 1845, 0, 32, 100], [0, 0, 1416, 0, 0], [9299, 19441, 4534, 56037, 10854], [117, 3323, 0, 8, 2237]]"
5,0.9622492790222168,0.5418806795732912,0.8777021253141056,0.5418806795732912,0.6435275689706889,0.6179118066411283,0.266388557806913,0.9896070352376852,0.41977852847956804,"[[1668, 2921, 778, 121, 1626], [89, 1823, 0, 13, 121], [1, 0, 1415, 0, 0], [9958, 19074, 4594, 55849, 10690], [242, 3074, 0, 35, 2334]]"
6,0.9387232661247253,0.5447494545891811,0.8785052657736478,0.5447494545891811,0.6455912864356038,0.6198958995413396,0.26770451263837486,0.9919439148883833,0.42162218678934577,"[[1758, 2880, 729, 104, 1643], [112, 1815, 0, 18, 101], [3, 0, 1413, 0, 0], [10343, 18418, 4344, 56042, 11018], [285, 2996, 0, 9, 2395]]"
7,0.9359228610992432,0.5467335474893924,0.8782547400123552,0.5467335474893924,0.6468794348677419,0.621089790940168,0.2680997735446916,0.9901605067339032,0.4219505483706121,"[[1700, 2834, 722, 128, 1730], [78, 1790, 0, 23, 155], [5, 0, 1411, 0, 0], [9934, 18154, 4281, 56210, 11586], [207, 2926, 0, 9, 2543]]"
8,0.945611834526062,0.5420696408018827,0.8789374685939462,0.5420696408018827,0.642518964837004,0.6159706594746878,0.26589757093015604,0.9936043293770371,0.41952612788055826,"[[1703, 2782, 724, 94, 1811], [73, 1784, 0, 10, 179], [3, 0, 1413, 0, 0], [10314, 18053, 4322, 55558, 11918], [148, 2884, 0, 0, 2653]]"
9,0.9461092948913574,0.547936028034975,0.8781026383245284,0.547936028034975,0.6477269668081564,0.6220603645233882,0.26855111882394167,0.9897300289035115,0.4224701404383777,"[[1696, 2803, 730, 120, 1765], [71, 1727, 0, 43, 205], [0, 0, 1416, 0, 0], [10002, 17645, 4380, 56330, 11808], [215, 2841, 0, 4, 2625]]"
10,0.966066300868988,0.5443543538384897,0.8786703414484819,0.5443543538384897,0.6447875532254816,0.618324085685328,0.26683217477656407,0.9914519402250784,0.4204952987050247,"[[1743, 2811, 731, 127, 1702], [77, 1762, 0, 12, 195], [5, 0, 1411, 0, 0], [10093, 18268, 4365, 55867, 11572], [261, 2830, 0, 0, 2594]]"
