round,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,attack_accuracy,attack_precision,attack_recall,attack_f1,confusion_matrix
1,0.8971095085144043,0.5792877243332899,0.8828048388948774,0.5792877243332899,0.6739966479516567,0.645427607670661,0.27029900075378344,0.9791360358468109,0.4236466632334676,"[[1872, 2026, 701, 248, 2267], [36, 994, 0, 50, 966], [8, 0, 1258, 0, 0], [9054, 13102, 3996, 55281, 11602], [4, 1089, 1, 0, 2763]]"
2,0.9374616146087646,0.5772377420376824,0.8859586649031953,0.5772377420376824,0.6691830257167589,0.6377681283661641,0.26779475364015787,0.9927886298396695,0.421810393550882,"[[2452, 1370, 675, 94, 2523], [67, 927, 0, 9, 1043], [0, 0, 1266, 0, 0], [11948, 9941, 3870, 54264, 13012], [52, 765, 1, 0, 3039]]"
3,0.9366982579231262,0.5802288525690006,0.8851089945962075,0.5802288525690005,0.671871983800906,0.641215825863322,0.26921391138637446,0.9890779248057131,0.42323017466071483,"[[2384, 1398, 698, 136, 2498], [65, 920, 0, 20, 1041], [8, 0, 1258, 0, 0], [11573, 9881, 3981, 54687, 12913], [25, 811, 1, 0, 3020]]"
4,0.911521852016449,0.5768091093758736,0.8857102378375914,0.5768091093758736,0.6682386862502223,0.636724501015673,0.26723829265994536,0.9928586431421971,0.4211260913464394,"[[2504, 1278, 686, 91, 2555], [71, 856, 0, 11, 1108], [1, 0, 1265, 0, 0], [12503, 9257, 3945, 54151, 13179], [132, 598, 1, 0, 3126]]"
5,0.9221658110618591,0.5754207122756667,0.8862655844610198,0.5754207122756667,0.667859380402743,0.6359324624014611,0.26703007518796995,0.994608975705384,0.4210245543322022,"[[2635, 1437, 663, 75, 2304], [93, 948, 0, 2, 1003], [1, 0, 1265, 0, 0], [13030, 10246, 3830, 54041, 11888], [188, 804, 1, 0, 2864]]"
6,0.9281415939331055,0.5807693024469334,0.8854469377115266,0.5807693024469334,0.6714284350704384,0.6403865148437354,0.2689866200395317,0.9908982706714276,0.4231154426822524,"[[2519, 1224, 670, 113, 2588], [78, 820, 0, 17, 1131], [4, 0, 1262, 0, 0], [12366, 8898, 3861, 54572, 13338], [128, 574, 1, 0, 3154]]"
7,0.9127240180969238,0.5773495592538065,0.8859679191997886,0.5773495592538065,0.6687020904986528,0.6370972250694199,0.26749250523219636,0.9932787229573619,0.4214795008912656,"[[2520, 1283, 688, 84, 2539], [73, 855, 0, 12, 1106], [0, 0, 1266, 0, 0], [12401, 9308, 3938, 54185, 13203], [96, 626, 1, 0, 3134]]"
8,0.9210912585258484,0.5764177491194394,0.8861115957436096,0.5764177491194394,0.6698560085925473,0.6387465290072495,0.26841448189762795,0.9934887628649444,0.4226421838002055,"[[2490, 1671, 682, 92, 2179], [78, 1091, 0, 1, 876], [0, 0, 1266, 0, 0], [12163, 11389, 3882, 54359, 11242], [98, 1104, 1, 0, 2654]]"
9,0.9293967485427856,0.5756816191132895,0.8855042044462887,0.5756816191132895,0.6688468758932221,0.637432676717792,0.26743724856932405,0.99138836378912,0.4212405176260598,"[[2513, 1633, 679, 115, 2174], [72, 1083, 0, 8, 883], [0, 0, 1266, 0, 0], [12452, 11082, 3923, 54248, 11330], [114, 1071, 1, 0, 2671]]"
10,0.9242190718650818,0.577051380010809,0.8858095179774568,0.577051380010809,0.6696224008590584,0.6384576678655957,0.2681344455162761,0.9925085766295596,0.4222063378603765,"[[2413, 1604, 676, 91, 2330], [68, 998, 0, 16, 964], [1, 0, 1265, 0, 0], [12037, 10901, 3856, 54342, 11899], [123, 823, 1, 0, 2910]]"
