round,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,attack_accuracy,attack_precision,attack_recall,attack_f1,confusion_matrix
1,0.0856713354587555,0.9731716591321983,0.9804701610999432,0.9731716591321983,0.9751351653077781,0.9731885588744772,0.8314979151074522,0.9986516853932584,0.9074414398646481,"[[7094, 1, 0, 19, 0], [0, 2044, 1, 0, 0], [0, 0, 1381, 0, 0], [345, 317, 32, 99618, 2458], [0, 0, 0, 2, 5033]]"
2,0.07329674065113068,0.980869491740251,0.9845571926545534,0.980869491740251,0.9818107328442066,0.9808863914825299,0.8741498510482828,0.9985232744783307,0.9322064376910627,"[[7094, 1, 0, 19, 0], [0, 2044, 1, 0, 0], [0, 0, 1381, 0, 0], [315, 288, 29, 100531, 1607], [0, 0, 0, 4, 5031]]"
3,0.06641298532485962,0.9846550340107313,0.9868420298803021,0.9846550340107313,0.985189980191238,0.9846719337530103,0.8967306694343539,0.9985232744783307,0.9448933714077404,"[[7094, 1, 0, 19, 0], [0, 2044, 1, 0, 0], [0, 0, 1381, 0, 0], [332, 295, 32, 100979, 1132], [0, 0, 0, 4, 5031]]"
4,0.06347095966339111,0.9832777050149986,0.9859712934012984,0.9832777050149986,0.9839464630431267,0.983286154886138,0.8881973391195113,0.9987158908507223,0.9402200193423598,"[[7094, 0, 0, 20, 0], [0, 2044, 1, 0, 0], [0, 0, 1381, 0, 0], [327, 242, 60, 100812, 1329], [0, 0, 0, 0, 5035]]"
5,0.06755460053682327,0.9832523554015802,0.9858539786782327,0.9832523554015802,0.9838916320186354,0.9832608052727196,0.8880895283772982,0.9986516853932584,0.9401311614131584,"[[7094, 0, 0, 20, 0], [0, 2044, 1, 0, 0], [0, 0, 1381, 0, 0], [319, 328, 67, 100810, 1246], [0, 0, 0, 1, 5034]]"
6,0.05859912931919098,0.9859225146816512,0.9877465823255034,0.9859225146816512,0.9863681244423315,0.9859309645527906,0.9047840763589803,0.9981380417335474,0.9491711695210184,"[[7094, 0, 0, 20, 0], [0, 2044, 1, 0, 0], [0, 0, 1381, 0, 0], [328, 231, 31, 101134, 1046], [0, 0, 0, 9, 5026]]"
7,0.06356175243854523,0.984376188263129,0.986778288455886,0.984376188263129,0.9849701297066644,0.9843846381342685,0.8949761178569373,0.9985232744783307,0.943918426802622,"[[7091, 0, 0, 23, 0], [0, 2044, 1, 0, 0], [0, 0, 1381, 0, 0], [282, 297, 30, 100945, 1216], [0, 0, 0, 0, 5035]]"
8,0.05907192453742027,0.9868351007647134,0.9883226109629563,0.9868351007647134,0.987196230956971,0.9868435506358528,0.9109886243696493,0.9974959871589085,0.9522817125869625,"[[7094, 0, 0, 20, 0], [0, 2043, 1, 1, 0], [0, 0, 1381, 0, 0], [332, 223, 44, 101252, 919], [0, 0, 0, 18, 5017]]"
9,0.05563861131668091,0.9877476868477756,0.9890701545485201,0.9877476868477756,0.988069762931568,0.987756136718915,0.9168929288159603,0.9973675762439808,0.9554386936064213,"[[7093, 0, 0, 21, 0], [0, 2044, 1, 0, 0], [0, 0, 1381, 0, 0], [290, 233, 28, 101362, 857], [0, 0, 0, 20, 5015]]"
10,0.054887138307094574,0.9881025814356331,0.9893867959346606,0.9881025814356331,0.9884091797753981,0.9881110313067726,0.91828058573453,0.9985232744783307,0.9567223401310325,"[[7093, 0, 0, 21, 0], [0, 2044, 1, 0, 0], [0, 0, 1381, 0, 0], [294, 228, 29, 101386, 833], [0, 0, 0, 2, 5033]]"
