round,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,attack_accuracy,attack_precision,attack_recall,attack_f1,confusion_matrix
1,0.5815128684043884,0.7704645921059529,0.7342888285766739,0.7704645921059529,0.7190323387829132,0.7785543305435675,0.49874266554903607,0.18796398673195389,0.2730297120569003,"[[1175, 0, 321, 6502, 4], [0, 0, 0, 0, 0], [0, 0, 659, 378, 0], [853, 0, 1434, 42179, 105], [138, 0, 0, 3402, 83]]"
2,0.5462099313735962,0.7696084426816696,0.7556231404160355,0.7696084426816696,0.7454616686848532,0.7876225254660773,0.5299326957137797,0.3544463749802559,0.4247787610619469,"[[1406, 0, 512, 5725, 359], [0, 0, 0, 0, 0], [18, 0, 878, 141, 0], [1067, 0, 1765, 40590, 1149], [142, 0, 0, 2308, 1173]]"
3,0.534273087978363,0.7779253228032779,0.7683555992356483,0.7779253228032779,0.7449782200599087,0.7935806265615991,0.558970792767733,0.3174064128889591,0.4048962321176708,"[[1089, 0, 458, 6103, 352], [0, 0, 0, 0, 0], [13, 0, 837, 187, 0], [521, 0, 1592, 41400, 1058], [73, 0, 0, 2353, 1197]]"
4,0.533398449420929,0.7810004717558052,0.7636506566904576,0.7810004717558052,0.7446949227782165,0.7945590830464941,0.5700123915737298,0.2906333912494077,0.3849775081075426,"[[1050, 0, 318, 6249, 385], [0, 0, 0, 0, 0], [7, 0, 673, 357, 0], [540, 0, 1208, 41795, 1028], [66, 0, 0, 2376, 1181]]"
5,0.52933269739151,0.7818391487428581,0.7663763424478278,0.7818391487428581,0.7447505551032737,0.795782153652613,0.5769109286165508,0.28850102669404515,0.38464778351058226,"[[1041, 0, 381, 6242, 338], [0, 0, 0, 0, 0], [9, 0, 699, 329, 0], [494, 0, 1277, 41892, 908], [70, 0, 0, 2438, 1115]]"
6,0.5387013554573059,0.7782048817989622,0.7639251793441949,0.7782048817989622,0.7443150399789389,0.7933360124403753,0.5599137931034482,0.30777128415732113,0.3972072163897666,"[[1083, 0, 437, 6152, 330], [0, 0, 0, 0, 0], [30, 0, 786, 221, 0], [573, 0, 1479, 41508, 1011], [69, 0, 0, 2392, 1162]]"
7,0.5354902148246765,0.7754442367165796,0.7615772176853658,0.7754442367165796,0.7470619325398196,0.7913790994705852,0.5462701871315048,0.3365976938872216,0.41653635652853793,"[[1233, 0, 420, 5966, 383], [0, 0, 0, 0, 0], [6, 0, 784, 247, 0], [769, 0, 1498, 41031, 1273], [103, 0, 0, 2187, 1333]]"
8,0.5280643701553345,0.7759334649590272,0.7560695575789228,0.7759334649590272,0.747924862276588,0.7917634930896511,0.5480123902942695,0.3353340704470068,0.4160705536501715,"[[1308, 0, 388, 5927, 379], [0, 0, 0, 0, 0], [67, 0, 779, 191, 0], [988, 0, 1431, 41069, 1083], [72, 0, 0, 2298, 1253]]"
9,0.5297001004219055,0.7781874093617319,0.7605952647861307,0.7781874093617319,0.7451417601905074,0.7922876662065591,0.554232062780269,0.31235191912809984,0.3995353065966259,"[[1072, 0, 351, 6206, 373], [0, 0, 0, 0, 0], [34, 0, 729, 274, 0], [650, 0, 1259, 41390, 1272], [49, 0, 0, 2227, 1347]]"
10,0.5268750190734863,0.7747628116645991,0.7616316304686779,0.7747628116645991,0.7480863506507185,0.7916237135918089,0.5448124695567462,0.35334070447006793,0.42866724154450514,"[[1238, 0, 414, 5932, 418], [0, 0, 0, 0, 0], [24, 0, 800, 213, 0], [804, 0, 1500, 40833, 1434], [109, 0, 0, 2043, 1471]]"
