round,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,attack_accuracy,attack_precision,attack_recall,attack_f1,confusion_matrix
1,0.4629293382167816,0.8500921221595668,0.7652537065972921,0.8500921221595668,0.8034604618231517,0.8556641170230584,0.3733821733821734,0.12860627470771302,0.19131631631631632,"[[0, 0, 499, 5143, 0], [0, 0, 0, 1624, 0], [0, 0, 1030, 89, 0], [0, 0, 2566, 75100, 0], [0, 0, 0, 3504, 0]]"
2,0.44849494099617004,0.8501591200937971,0.7649191575408161,0.8501591200937971,0.8033968001187898,0.8555971190888281,0.37037037037037035,0.12532593153335014,0.1872800402212167,"[[0, 0, 487, 5155, 0], [0, 0, 0, 1624, 0], [0, 0, 1003, 116, 0], [0, 0, 2533, 75133, 0], [0, 0, 0, 3504, 0]]"
3,0.4549410045146942,0.8496678019094411,0.7878311420895877,0.8496678019094411,0.8035358607018463,0.8548601418122941,0.36134033508377095,0.1215409201783161,0.1818982880161128,"[[29, 0, 465, 5148, 0], [0, 0, 0, 1624, 0], [0, 0, 951, 168, 0], [49, 0, 2505, 75112, 0], [0, 0, 0, 3504, 0]]"
4,0.448139488697052,0.8593825023728435,0.7609660498456701,0.8593825023728435,0.8068813195868977,0.8621070850315449,0.39109848484848486,0.06947598620573639,0.11799157203056924,"[[0, 0, 244, 5398, 0], [0, 0, 0, 1624, 0], [0, 0, 582, 537, 0], [0, 0, 1286, 76380, 0], [0, 0, 0, 3504, 0]]"
5,0.4496183693408966,0.8518899000614147,0.7856406983211417,0.8518899000614147,0.8048125574874682,0.8568924124839484,0.3742880390561432,0.116073681554378,0.17719568567026195,"[[35, 0, 448, 5159, 0], [0, 0, 0, 1624, 0], [0, 0, 897, 222, 0], [68, 0, 2239, 75359, 0], [0, 0, 0, 3504, 0]]"
6,0.4526384472846985,0.86181676064988,0.7779384292467126,0.86181676064988,0.8089981210454369,0.8636927028083301,0.40074906367041196,0.05399949533181933,0.09517456081832333,"[[76, 0, 162, 5404, 0], [0, 0, 0, 1624, 0], [0, 0, 398, 721, 0], [186, 0, 774, 76706, 0], [6, 0, 0, 3498, 0]]"
7,0.46482720971107483,0.849388643850148,0.7876061087862389,0.849388643850148,0.8040567719162599,0.8550053040031266,0.3717228464419476,0.1335688451509799,0.1965224924200235,"[[45, 0, 503, 5094, 0], [0, 0, 0, 1624, 0], [0, 0, 1040, 79, 0], [84, 0, 2600, 74982, 0], [0, 0, 0, 3504, 0]]"
8,0.44982656836509705,0.8483836748366925,0.7867429032444637,0.8483836748366925,0.8036778318759903,0.8542348277594775,0.36877675152061273,0.13769030195979476,0.20051445369916707,"[[49, 0, 524, 5069, 0], [0, 0, 0, 1624, 0], [0, 0, 1064, 55, 0], [99, 0, 2703, 74864, 0], [0, 0, 0, 3504, 0]]"
9,0.4508858919143677,0.8511194238177656,0.7863402757968287,0.8511194238177656,0.8043646979323685,0.8562224331416448,0.3706422018348624,0.11893346791151485,0.18008150789607744,"[[31, 0, 457, 5154, 0], [0, 0, 0, 1624, 0], [0, 0, 926, 193, 0], [58, 0, 2343, 75265, 0], [0, 0, 0, 3504, 0]]"
10,0.4505683183670044,0.8520127296075037,0.7883042712902822,0.8520127296075037,0.8047218679741248,0.8570152420300374,0.37747458533975387,0.11868113382117924,0.18058488513470275,"[[23, 0, 448, 5171, 0], [0, 0, 0, 1624, 0], [0, 0, 940, 179, 0], [38, 0, 2289, 75339, 0], [0, 0, 0, 3504, 0]]"
