round,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,attack_accuracy,attack_precision,attack_recall,attack_f1,confusion_matrix
1,0.035277143120765686,0.9943883711570017,0.994594288599896,0.9943883711570017,0.9944400166718178,0.9944348122232887,0.9650129373382833,0.9943777893699647,0.9794753218577831,"[[7095, 0, 0, 32, 1], [0, 3028, 1, 6, 2], [0, 0, 1938, 7, 0], [289, 234, 7, 111321, 92], [2, 0, 0, 52, 5089]]"
2,0.034602902829647064,0.9945586550667204,0.9947711266982027,0.9945586550667204,0.99461155551346,0.9946050961330072,0.9659461893504446,0.994667594041616,0.9800965190325251,"[[7098, 1, 0, 29, 0], [0, 3029, 1, 6, 1], [0, 0, 1938, 7, 0], [291, 240, 7, 111338, 67], [3, 0, 0, 50, 5090]]"
3,0.035274114459753036,0.9947211987987244,0.9949185432441605,0.9947211987987244,0.99477071226303,0.9947521595095823,0.966875105627852,0.9947835159102765,0.9806307850531368,"[[7089, 1, 0, 38, 0], [0, 3031, 1, 4, 1], [0, 0, 1940, 5, 0], [275, 235, 7, 111355, 71], [1, 0, 0, 43, 5099]]"
4,0.03411329165101051,0.994876002353014,0.9950769129617032,0.994876002353014,0.9949260699456135,0.9949147032415864,0.9673876309564042,0.9954790471222396,0.9812323249635787,"[[7095, 1, 0, 32, 0], [0, 3031, 0, 5, 1], [0, 0, 1940, 5, 0], [273, 236, 7, 111364, 63], [1, 2, 0, 36, 5104]]"
5,0.03493510186672211,0.9949456639524443,0.9951391267718045,0.9949456639524443,0.9949936865571775,0.9949921050187313,0.9675639148552765,0.9958847736625515,0.9815200936848419,"[[7097, 1, 0, 30, 0], [0, 3031, 0, 5, 1], [0, 0, 1940, 5, 0], [274, 226, 7, 111367, 69], [2, 2, 0, 31, 5108]]"
6,0.03602985665202141,0.9948992228861575,0.9950980633626559,0.9948992228861575,0.9949481507875158,0.9949534041301589,0.9671337723000731,0.9960586564655423,0.9813831306036206,"[[7101, 1, 1, 25, 0], [0, 3032, 1, 3, 1], [0, 0, 1940, 5, 0], [279, 228, 7, 111359, 70], [2, 1, 0, 35, 5105]]"
7,0.03507743030786514,0.9949301835970153,0.9951009651966254,0.9949301835970153,0.9949731931677059,0.9950075853741602,0.9693116310613767,0.9940879846983134,0.9815434801270495,"[[7102, 1, 0, 25, 0], [0, 3021, 1, 13, 2], [0, 0, 1940, 5, 0], [282, 206, 7, 111400, 48], [3, 3, 0, 59, 5078]]"
8,0.03513214364647865,0.9952397907055947,0.9953958028986993,0.9952397907055947,0.9952792361111451,0.9952552710610235,0.9699502937189336,0.9953051643192489,0.9824641702663272,"[[7100, 1, 0, 27, 0], [0, 3024, 0, 12, 1], [0, 0, 1936, 9, 0], [257, 203, 7, 111411, 65], [0, 0, 0, 33, 5110]]"
9,0.0338638499379158,0.995278491594167,0.9954431636789898,0.995278491594167,0.995319648583806,0.9953249326604539,0.9700186324882841,0.995768851793891,0.9827250886626244,"[[7097, 1, 0, 30, 0], [0, 3030, 1, 5, 1], [0, 0, 1940, 5, 0], [250, 212, 7, 111412, 62], [2, 1, 0, 33, 5107]]"
10,0.03375335782766342,0.9953791139044552,0.9955137343271456,0.9953791139044552,0.9954135033150654,0.9954178147930276,0.9729208061311382,0.9933344925520199,0.9830216817712516,"[[7083, 1, 0, 44, 0], [0, 3029, 0, 7, 1], [0, 0, 1940, 5, 0], [214, 205, 7, 111466, 51], [1, 2, 0, 59, 5081]]"
